source,sink,probability
3367669,1537559,1
1312847,4122413,0
1312847,4487750,1
4361289,4818354,0
4361289,2087694,1
333573,3874532,0
333573,4052552,1
4267183,2401906,0
4267183,4847136,1
1818911,1321175,0
1818911,1621606,1
1150919,3847438,0
1150919,495415,1
4075641,713325,0
4075641,182076,1
3386592,2913683,0
3386592,1763872,1
3980998,1194287,0
3980998,4467395,1
1003239,3387680,0
1003239,4209323,1
2464827,1304519,0
2464827,4533803,1
1005927,921040,0
1005927,1615854,1
1888423,1277418,0
1888423,4103434,1
3676150,80987,0
3676150,2724200,1
1411138,3377262,0
1411138,2371482,1
4286284,2554014,0
4286284,2261139,1
1327933,1064408,0
1327933,3689220,1
415955,4468237,0
415955,540762,1
193736,1855835,0
193736,2221701,1
1521082,4403745,0
1521082,1515004,1
4027460,3910996,0
4027460,4719393,1
1116703,3874678,0
1116703,444271,1
2152173,3612967,0
2152173,722676,1
2849738,3381396,0
2849738,4449645,1
2404108,4009764,0
2404108,551195,1
2800259,912991,0
2800259,494454,1
1970076,4199519,0
1970076,2654333,1
2000752,2257390,0
2000752,2052485,1
952976,59256,0
952976,4029906,1
1655093,1484616,0
1655093,2388735,1
1209171,1474138,0
1209171,2718230,1
141067,1125617,0
141067,1445225,1
1853195,4630589,0
1853195,3746841,1
4316209,3587663,0
4316209,4208653,1
1436216,2363070,0
1436216,183823,1
3820661,1926369,0
3820661,1331265,1
4818002,4521073,0
4818002,1225988,1
3206499,2242129,0
3206499,2327078,1
381025,123719,0
381025,695775,1
1892251,741240,0
1892251,3828577,1
2851163,1100165,0
2851163,2525425,1
3118623,3839379,0
3118623,540762,1
267263,3401673,0
267263,3019092,1
3043,1639958,0
3043,3106368,1
2463912,205783,0
2463912,704535,1
3767319,1220870,0
3767319,540762,1
3994838,313561,0
3994838,2975600,1
2737722,4534938,0
2737722,3410904,1
4313335,190092,0
4313335,2267963,1
1124524,69446,0
1124524,3124172,1
2703564,2659474,0
2703564,1173613,1
1157186,3648210,0
1157186,2635670,1
65840,4317115,0
65840,1044726,1
4008078,2133257,0
4008078,540762,1
4230834,4781399,0
4230834,2277070,1
3237295,3787717,0
3237295,3402731,1
3414168,1537167,0
3414168,4757363,1
3702208,3651659,0
3702208,1007677,1
3370407,2022786,0
3370407,2800259,1
695775,4842802,0
695775,1737397,1
2347332,4574236,0
2347332,4865875,1
4131275,3860671,0
4131275,4139225,1
2451654,2148990,0
2451654,2206273,1
3912913,2781707,0
3912913,4067630,1
1824878,1685184,0
1824878,3795219,1
3562621,1596596,0
3562621,3750187,1
2345899,57751,0
2345899,1883079,1
3201437,1520883,0
3201437,1769974,1
1313296,2959610,0
1313296,4032551,1
2391178,1892963,0
2391178,3955493,1
4523797,1515015,0
4523797,1070155,1
2519640,883493,0
2519640,1680255,1
1319809,3311559,0
1319809,3643389,1
3624714,991436,0
3624714,2432946,1
4321895,3499318,0
4321895,3061859,1
2763417,3034226,0
2763417,4123333,1
4272512,3905669,0
4272512,3178117,1
1070876,149980,0
1070876,4841952,1
1912140,2141225,0
1912140,3723250,1
1537559,485722,0
1537559,2653305,1
1006924,4289192,0
1006924,2647554,1
2095783,2406203,0
2095783,1150919,1
1726071,3754803,0
1726071,2204661,1
3906434,4667705,0
3906434,376109,1
3294915,807790,0
3294915,1115829,1
2635670,1464440,0
2635670,3034335,1
2486610,161421,0
2486610,4093477,1
3883660,891499,0
3883660,2908961,1
268451,868625,0
268451,2112582,1
2765056,4859149,0
2765056,4733703,1
2962391,2761980,0
2962391,688930,1
4520863,2256232,0
4520863,1252520,1
3413134,2196620,0
3413134,2857335,1
2342664,240041,0
2342664,34782,1
4070413,2812708,0
4070413,3134736,1
2956553,2453062,0
2956553,2725039,1
166847,2546985,0
166847,788286,1
1373197,2676853,0
1373197,1686207,1
1778718,3613685,0
1778718,1587345,1
2305992,1139349,0
2305992,2243318,1
3651179,3394608,0
3651179,3854944,1
4435935,3220066,0
4435935,2691894,1
2075015,1209696,0
2075015,1183414,1
883816,2338550,0
883816,4238451,1
2613814,1846501,0
2613814,1973082,1
979316,4568638,0
979316,3808061,1
1886780,52716,0
1886780,1656319,1
1615854,4058255,0
1615854,4763729,1
1339664,562421,0
1339664,2616477,1
1178312,2991010,0
1178312,2806311,1
1055480,4638639,0
1055480,3944761,1
2596741,3730295,0
2596741,2949535,1
354904,2073810,0
354904,4779943,1
1582015,1244579,0
1582015,1852309,1
3242547,4131135,0
3242547,2340941,1
1894869,434607,0
1894869,1368963,1
1653483,1214096,0
1653483,1681927,1
2293038,245021,0
2293038,396561,1
2343253,3657801,0
2343253,2202698,1
4135599,4308001,0
4135599,3420449,1
2941880,4080920,0
2941880,954611,1
606679,3530576,0
606679,2520346,1
2181765,4135006,0
2181765,4217558,1
4103749,4075572,0
4103749,426851,1
3132939,4179171,0
3132939,1556337,1
367147,3856821,0
367147,1029000,1
927772,4520366,0
927772,3656974,1
1269260,982923,0
1269260,4395814,1
339563,3069729,0
339563,4598255,1
3405370,2322278,0
3405370,1968790,1
4074044,3013281,0
4074044,2511833,1
3402731,1458126,0
3402731,3338927,1
4816186,3549676,0
4816186,3870941,1
34372,4410466,0
34372,3031240,1
1031761,4428798,0
1031761,3305012,1
915390,2459562,0
915390,4046861,1
2042003,2911461,0
2042003,4811435,1
726745,1237082,0
726745,1974664,1
4484920,244641,0
4484920,4242694,1
1714561,4537416,0
1714561,4360134,1
4855480,663999,0
4855480,2347644,1
1081924,12651,0
1081924,4716210,1
502123,549261,0
502123,2517998,1
2307868,1422878,0
2307868,181623,1
3051068,2598131,0
3051068,847623,1
49935,852112,0
49935,3738897,1
4088731,1316257,0
4088731,2574909,1
4203183,4457636,0
4203183,559789,1
712607,2269358,0
712607,1109054,1
869783,1678951,0
869783,448756,1
3954325,3173668,0
3954325,741760,1
2638423,410862,0
2638423,3135560,1
1327376,1535364,0
1327376,4062318,1
3844858,3081662,0
3844858,521286,1
3241251,3014744,0
3241251,1188411,1
1417054,2197378,0
1417054,2985352,1
269241,4688380,0
269241,421093,1
2309618,2215857,0
2309618,2629898,1
4395517,3680727,0
4395517,2242180,1
439557,2567187,0
439557,4527639,1
4726377,4112749,0
4726377,3515845,1
1918125,3727417,0
1918125,4596632,1
3383708,3967276,0
3383708,3002200,1
3654082,3003640,0
3654082,2390311,1
3671121,694199,0
3671121,266748,1
2083120,251488,0
2083120,836572,1
86923,2449214,0
86923,2381188,1
4843705,3872756,0
4843705,4838395,1
4243946,1395984,0
4243946,3014386,1
3177663,681800,0
3177663,1563553,1
4145690,1978507,0
4145690,2835239,1
3475240,4669950,0
3475240,3271484,1
1376503,4629734,0
1376503,3241251,1
4093143,1206679,0
4093143,1062390,1
576784,2053687,0
576784,1361890,1
3454055,3272977,0
3454055,720158,1
3767456,755355,0
3767456,2589752,1
3871554,1094909,0
3871554,4427690,1
2093983,1514174,0
2093983,2939399,1
2145105,3824131,0
2145105,4194670,1
2842882,4155133,0
2842882,1373197,1
599880,4236336,0
599880,3071531,1
4211803,4027426,0
4211803,3132831,1
2961801,2694228,0
2961801,1971411,1
3954493,3722645,0
3954493,1870609,1
1149497,2589192,0
1149497,4401958,1
96236,4452324,0
96236,2762372,1
271364,2602520,0
271364,2453065,1
1205527,1230597,0
1205527,1250021,1
2559016,4729391,0
2559016,3198465,1
3971219,4320657,0
3971219,1125432,1
3571806,1090765,0
3571806,1325133,1
1065160,4013156,0
1065160,2865793,1
3575260,435618,0
3575260,472460,1
2657284,566955,0
2657284,4014126,1
65845,4581301,0
65845,567858,1
3095112,1043454,0
3095112,400365,1
4552182,4190905,0
4552182,353450,1
1164306,367320,0
1164306,3653421,1
2643544,2162521,0
2643544,3292376,1
3630714,3427302,0
3630714,4448408,1
2490457,4295130,0
2490457,97268,1
2147720,897514,0
2147720,3070239,1
577206,4507317,0
577206,2401519,1
1954051,2936567,0
1954051,501921,1
3260109,1678930,0
3260109,3772804,1
818304,2513860,0
818304,1459822,1
3876737,4598081,0
3876737,3305913,1
3373149,366378,0
3373149,4223938,1
1855227,2975758,0
1855227,106919,1
2012930,2648441,0
2012930,2580732,1
4744892,696029,0
4744892,777332,1
1735517,3290873,0
1735517,730177,1
4041270,3136825,0
4041270,898012,1
2648270,3830434,0
2648270,439998,1
3676100,1493536,0
3676100,214897,1
3815582,1894587,0
3815582,183128,1
735870,3418741,0
735870,4027460,1
2261139,2968393,0
2261139,4231462,1
4740354,566528,0
4740354,1634042,1
3023674,2129512,0
3023674,4027460,1
1475326,202985,0
1475326,1919380,1
4197224,2161655,0
4197224,1875572,1
4847367,748063,0
4847367,354904,1
1241127,1474483,0
1241127,439557,1
133821,3589254,0
133821,4696176,1
4547438,91903,0
4547438,3137585,1
416770,1133020,0
416770,2355642,1
3196224,4108620,0
3196224,4636900,1
4261389,127958,0
4261389,874967,1
2003197,3458712,0
2003197,1867305,1
1325096,1370768,0
1325096,4427086,1
4225092,1425349,0
4225092,1928574,1
2896906,787404,0
2896906,169479,1
2341282,928074,0
2341282,1681686,1
860494,4342401,0
860494,2136425,1
551195,1575703,0
551195,657986,1
1391852,2142779,0
1391852,634952,1
3349661,2350120,0
3349661,1289771,1
3771670,2712819,0
3771670,2837865,1
4767550,828075,0
4767550,4851400,1
3227444,3943770,0
3227444,2851916,1
2831006,2173438,0
2831006,2111866,1
1727783,934218,0
1727783,1947855,1
3026372,4240903,0
3026372,2094402,1
283737,3487996,0
283737,1555427,1
2274488,1433004,0
2274488,790724,1
4165889,3848073,0
4165889,551502,1
2046124,3027868,0
2046124,3804443,1
360185,3181605,0
360185,4855480,1
1790151,4219779,0
1790151,1742772,1
1599578,1651489,0
1599578,4471514,1
4152689,2342886,0
4152689,2210679,1
2751125,3710,0
2751125,727877,1
579316,3652167,0
579316,402638,1
1311817,408640,0
1311817,3892184,1
895854,2747750,0
895854,1473609,1
2730668,2935949,0
2730668,2718230,1
1617409,2893686,0
1617409,3241251,1
2399146,957555,0
2399146,1090226,1
3291396,1031677,0
3291396,1280832,1
2304453,879496,0
2304453,1508024,1
4705443,425329,0
4705443,2765582,1
2723674,2132464,0
2723674,4855480,1
2221701,3958390,0
2221701,4471927,1
2853969,322369,0
2853969,3899079,1
434888,3586127,0
434888,1072061,1
3669648,4770809,0
3669648,4351124,1
474172,3778927,0
474172,108266,1
3030681,4513146,0
3030681,2791310,1
2702192,2478617,0
2702192,2663641,1
2472037,137934,0
2472037,3454055,1
3162808,4079998,0
3162808,3023881,1
596012,1240186,0
596012,3277124,1
729600,3995455,0
729600,4393776,1
1950368,3008423,0
1950368,3671765,1
11470,1583658,0
11470,3055160,1
2127314,1458116,0
2127314,1461498,1
1075043,349023,0
1075043,958020,1
978341,697510,0
978341,2973884,1
2727581,1260846,0
2727581,968754,1
272633,458426,0
272633,4754125,1
2136695,484966,0
2136695,85437,1
4526732,1060650,0
4526732,1133192,1
2718603,4529342,0
2718603,819916,1
2525425,51830,0
2525425,2721776,1
517644,3401187,0
517644,2449603,1
4263987,3239176,0
4263987,3224022,1
835598,4577118,0
835598,3332865,1
1201117,431067,0
1201117,4263987,1
3765475,3863473,0
3765475,3616347,1
4687461,3436725,0
4687461,2236629,1
3514277,1647489,0
3514277,2151792,1
2170094,4125232,0
2170094,2328901,1
2284146,2768718,0
2284146,766318,1
61483,1341126,0
61483,2933830,1
1937293,3494360,0
1937293,3125981,1
2756498,2484641,0
2756498,2568467,1
1264672,3750849,0
1264672,1213866,1
504676,2898697,0
504676,1651260,1
1615261,2278899,0
1615261,2363847,1
1828651,1872423,0
1828651,3031364,1
2866109,4733888,0
2866109,3099734,1
3488621,3516146,0
3488621,2145105,1
2144252,1475604,0
2144252,2315345,1
2158773,2606056,0
2158773,213019,1
4173071,4456987,0
4173071,3328924,1
4201,1304089,0
4201,4245752,1
2294081,1938180,0
2294081,4331446,1
4527056,955515,0
4527056,2007231,1
3910599,435071,0
3910599,3992144,1
64448,1713189,0
64448,1199298,1
1909746,4739927,0
1909746,4112270,1
4017576,2715082,0
4017576,1766043,1
1348952,3888698,0
1348952,2284929,1
4366991,361835,0
4366991,2654333,1
502327,596793,0
502327,1738304,1
1599234,933969,0
1599234,4123281,1
588902,3511110,0
588902,3625426,1
402837,2798339,0
402837,191070,1
3076127,4416588,0
3076127,1097439,1
4494198,2784354,0
4494198,4478503,1
2865630,1090474,0
2865630,4160478,1
2382855,1820693,0
2382855,3793631,1
3181364,3638045,0
3181364,2149293,1
3390742,3245266,0
3390742,4570589,1
371379,934094,0
371379,189076,1
3968287,392217,0
3968287,1184552,1
1024144,4802697,0
1024144,374424,1
1440153,2052393,0
1440153,1171914,1
2772552,3506119,0
2772552,4510737,1
4394592,4498892,0
4394592,111846,1
3586002,2918227,0
3586002,3143954,1
3455734,4235575,0
3455734,770054,1
1719848,521348,0
1719848,1671751,1
300239,368218,0
300239,230140,1
3673129,1085552,0
3673129,2382189,1
2855029,4025878,0
2855029,4040756,1
1370197,1421256,0
1370197,690726,1
2963276,3828184,0
2963276,552249,1
3478899,2666498,0
3478899,4185449,1
2424544,4003705,0
2424544,2540979,1
2277070,3154565,0
2277070,1797649,1
1411176,3586772,0
1411176,3310704,1
2973719,1370759,0
2973719,2607897,1
2109675,3419929,0
2109675,2302893,1
4345005,3476225,0
4345005,2138809,1
1216656,1844539,0
1216656,4579116,1
3598782,2191176,0
3598782,3146279,1
4259308,2804329,0
4259308,2225721,1
368919,527161,0
368919,1803362,1
800218,1248323,0
800218,3923898,1
4667182,895136,0
4667182,434888,1
3880893,2215134,0
3880893,4474703,1
2182615,51837,0
2182615,2157926,1
2455012,1047783,0
2455012,4409136,1
1986843,4013282,0
1986843,1627728,1
1952130,1573654,0
1952130,3112636,1
886546,4068079,0
886546,3160189,1
4056521,659384,0
4056521,2743659,1
3509422,3285538,0
3509422,2129050,1
2876762,3220220,0
2876762,3857537,1
3034765,3070529,0
3034765,3205211,1
4313641,1212595,0
4313641,671288,1
359634,3650744,0
359634,2772459,1
803867,2129288,0
803867,3765163,1
743837,4727301,0
743837,4479370,1
3000866,2610815,0
3000866,3944862,1
3098549,2087237,0
3098549,2798160,1
932720,4122388,0
932720,3184129,1
2281580,1273336,0
2281580,4582129,1
2662809,595284,0
2662809,3321577,1
1068490,1955667,0
1068490,3497650,1
4519357,4234515,0
4519357,4108715,1
2827436,1034412,0
2827436,3028983,1
1302276,1978855,0
1302276,2519430,1
2034451,4224973,0
2034451,1551047,1
401793,3111790,0
401793,3870335,1
4727207,906277,0
4727207,3815560,1
1299273,1255301,0
1299273,1855680,1
3753233,3530608,0
3753233,4055858,1
348322,4713339,0
348322,3590203,1
2516076,173509,0
2516076,3190104,1
4035655,2296334,0
4035655,2539733,1
3352799,3013606,0
3352799,2679316,1
3084734,3042228,0
3084734,22849,1
2377014,2258943,0
2377014,4433612,1
1368963,2409899,0
1368963,5220,1
3262492,3500307,0
3262492,1439159,1
1213507,463926,0
1213507,4450690,1
3290204,1777127,0
3290204,3056276,1
3441479,1785701,0
3441479,971580,1
1073019,2412408,0
1073019,1669163,1
2214261,3759871,0
2214261,1843336,1
3302638,2246314,0
3302638,1164251,1
3646261,685966,0
3646261,1539808,1
3023881,3362186,0
3023881,2128775,1
347798,2234489,0
347798,2338450,1
2340192,4109094,0
2340192,3712081,1
4799660,3627922,0
4799660,4630495,1
4191410,1443313,0
4191410,590773,1
1378976,236807,0
1378976,2730668,1
2086284,4641541,0
2086284,68387,1
1485287,1936011,0
1485287,2814540,1
893343,3612148,0
893343,3879715,1
3703256,3204320,0
3703256,4777850,1
1504506,2897527,0
1504506,66906,1
3723496,2760277,0
3723496,1707280,1
3971661,621076,0
3971661,2723360,1
4560210,3308587,0
4560210,1764111,1
3559115,200460,0
3559115,3352997,1
4114881,1081371,0
4114881,2884573,1
2317761,127452,0
2317761,4856982,1
2981537,494021,0
2981537,595110,1
3580918,1873644,0
3580918,3705965,1
2511833,1417497,0
2511833,955880,1
4629176,1192949,0
4629176,1870174,1
3651891,3926154,0
3651891,857013,1
1767738,4434062,0
1767738,2418598,1
3936039,63190,0
3936039,3931257,1
4711305,128110,0
4711305,2584054,1
816770,4040568,0
816770,860653,1
1232770,2317754,0
1232770,3797960,1
1735116,735214,0
1735116,3106714,1
2646460,1772839,0
2646460,2142137,1
1074569,2791272,0
1074569,733326,1
1524138,2920722,0
1524138,3593063,1
3738397,880904,0
3738397,2599962,1
1835866,3894177,0
1835866,4300702,1
3451178,372714,0
3451178,4685561,1
1751399,2930012,0
1751399,282707,1
1207430,1578739,0
1207430,3662144,1
2962038,4114336,0
2962038,2748822,1
4819369,4818431,0
4819369,3535336,1
537240,2746868,0
537240,2096270,1
3323519,166313,0
3323519,800945,1
3836080,1819716,0
3836080,3930787,1
4502646,4055459,0
4502646,1139266,1
850017,3110539,0
850017,3427625,1
512551,339747,0
512551,389474,1
1080735,789661,0
1080735,2333880,1
2543113,504259,0
2543113,43831,1
2973692,2011873,0
2973692,2058133,1
2045340,1010823,0
2045340,3350735,1
2679440,818372,0
2679440,4863752,1
376404,3543545,0
376404,3473068,1
1293807,414798,1
1293807,1784227,1
3991124,3508948,0
3991124,4175568,1
3003067,216400,0
3003067,3461390,1
2259527,3693690,0
2259527,856885,1
3381725,2250908,0
3381725,3930347,1
4035124,2780917,0
4035124,2152929,1
1420943,4207033,0
1420943,2972199,1
3240411,2278833,0
3240411,3946090,1
3581291,332347,0
3581291,1910851,1
4193534,760011,0
4193534,2214613,1
1034643,207125,0
1034643,2142974,1
1017183,2338264,0
1017183,3505472,1
2560175,910484,0
2560175,4691187,1
3344480,427957,0
3344480,1463761,1
2999451,122308,0
2999451,1428460,1
4218823,1566266,0
4218823,1735715,1
186745,3109690,0
186745,3842284,1
1308410,1538298,0
1308410,2858416,1
4487095,2495933,0
4487095,4176871,1
3055160,4298292,0
3055160,844432,1
2793437,2189329,0
2793437,2027624,1
1155303,1097158,0
1155303,4323393,1
4677853,3567941,0
4677853,4113414,1
2570059,4616181,0
2570059,722352,1
3428892,3937957,0
3428892,3702208,1
2175924,1640827,0
2175924,680533,1
355682,2394005,0
355682,1486968,1
519265,4244332,0
519265,8009,1
3219524,3146840,0
3219524,2046661,1
2467789,1505397,0
2467789,2481002,1
1892689,4825092,0
1892689,2746721,1
3202215,1918340,0
3202215,389911,1
2650412,2121967,0
2650412,2140862,1
2004231,1834666,0
2004231,4645756,1
1341640,3715608,0
1341640,67680,1
2368519,3623868,0
2368519,4410820,1
130129,2245558,0
130129,2793437,1
1580988,1280724,0
1580988,880111,1
22713,70907,0
22713,2419642,1
3438483,4425738,0
3438483,4775857,1
1542208,1195776,0
1542208,3085568,1
4222854,4585410,0
4222854,203399,1
1733957,4697246,0
1733957,1530245,1
2423007,1221225,0
2423007,266118,1
3199880,3810156,0
3199880,1034742,1
4329917,3050677,0
4329917,1629019,1
510288,4579451,0
510288,4782852,1
1296164,962460,0
1296164,1068245,1
773820,3260080,0
773820,1658844,1
112408,3991365,0
112408,2885409,1
258641,427249,0
258641,3853383,1
3936254,1524435,0
3936254,2701304,1
3707448,2913067,0
3707448,82062,1
666439,1782992,0
666439,3524578,1
3978787,2915905,0
3978787,3782063,1
360145,3582348,0
360145,4420704,1
3477948,1882191,0
3477948,2033086,1
2212453,1665768,0
2212453,23033,1
4166725,523544,0
4166725,1792279,1
2996703,3288714,0
2996703,4054562,1
4338437,4487344,0
4338437,3374922,1
4864827,4508098,0
4864827,2090011,1
4852291,2202517,0
4852291,3418873,1
192023,2828741,0
192023,4598310,1
2572273,2086704,0
2572273,2797433,1
1884174,4152999,0
1884174,4418271,1
4504242,2259780,0
4504242,4740581,1
2694878,4445142,0
2694878,3341642,1
1337052,2023784,0
1337052,1216717,1
4712533,1631855,0
4712533,2345899,1
1831774,3086233,0
1831774,2293021,1
3709024,3773235,0
3709024,4238001,1
4114692,79480,0
4114692,774741,1
1819836,1359069,0
1819836,1807497,1
3060030,1270983,0
3060030,659571,1
1023020,4737529,0
1023020,4727207,1
3562014,2842571,0
3562014,3088807,1
1161753,3524094,0
1161753,2399823,1
4538855,4171184,0
4538855,1669260,1
929480,367993,0
929480,581344,1
4710089,757737,0
4710089,4027714,1
764041,1978928,0
764041,1487954,1
1526194,1526536,0
1526194,2524497,1
3173081,506643,0
3173081,4396841,1
1169100,4635662,0
1169100,4109738,1
2013571,1705964,0
2013571,3033668,1
1848480,4479243,0
1848480,4270397,1
355945,2294586,0
355945,72879,1
174859,464894,0
174859,343773,1
1601101,3564064,0
1601101,868021,1
1823899,4545199,0
1823899,471451,1
3218379,631330,0
3218379,3670190,1
2064564,4207556,0
2064564,493460,1
4830584,135935,0
4830584,3791101,1
2601512,3922848,0
2601512,3136484,1
4116385,2508855,0
4116385,953426,1
158616,3433876,0
158616,4040335,1
4793834,629270,0
4793834,1539665,1
2478961,4656795,0
2478961,3597591,1
1375965,4414787,0
1375965,2872229,1
2107861,114146,0
2107861,4665804,1
3628305,2404000,0
3628305,2588924,1
3005188,927579,0
3005188,3068356,1
3795799,4042052,0
3795799,3300821,1
4424167,840830,0
4424167,290291,1
3658381,3745084,0
3658381,2436304,1
4630449,3250736,0
4630449,2168218,1
184437,2847914,0
184437,2339438,1
3573802,3741670,0
3573802,77895,1
743274,4064809,0
743274,4646674,1
1446938,921662,0
1446938,3265134,1
3542457,4530735,0
3542457,1348682,1
4805051,1440153,0
4805051,1011021,1
3538258,1707617,0
3538258,858343,1
3214893,776736,0
3214893,3338434,1
1961294,2920526,0
1961294,2095009,1
1852513,1640587,0
1852513,2243717,1
366638,2720602,0
366638,3945698,1
3801411,2562215,0
3801411,993466,1
465946,1379386,0
465946,3322040,1
2938005,3038444,0
2938005,1882803,1
1519747,3125715,0
1519747,3023881,1
4139225,1741665,0
4139225,4094193,1
2368809,1962325,0
2368809,3498715,1
775349,3547496,0
775349,2125312,1
2312201,1169985,0
2312201,1704940,1
112032,4150924,0
112032,2709560,1
1315278,2944899,0
1315278,3677567,1
3875114,3208489,0
3875114,2934810,1
3438576,3470181,0
3438576,1178530,1
2623062,237335,0
2623062,257969,1
196412,736029,0
196412,261881,1
3014139,4633270,0
3014139,363569,1
2040749,1289737,0
2040749,2466760,1
4628096,1103162,0
4628096,782241,1
2165305,592436,0
2165305,140700,1
2524806,708044,0
2524806,1201114,1
3873768,4234917,0
3873768,3433622,1
1552756,2066259,0
1552756,3433807,1
4479954,4601032,0
4479954,3840642,1
2421052,1172981,0
2421052,2805036,1
558775,4769337,0
558775,2088703,1
4123059,3933167,0
4123059,573594,1
4049498,2043863,0
4049498,3546093,1
1079053,971757,0
1079053,4209581,1
3526269,1060582,0
3526269,1986004,1
1882090,132255,0
1882090,4033245,1
3687610,4607377,0
3687610,2943564,1
1218125,2545928,0
1218125,3747606,1
850193,950320,0
850193,201249,1
966845,643064,0
966845,1250557,1
1079266,4689588,0
1079266,1556810,1
2176779,793973,0
2176779,2444527,1
182160,1340564,0
182160,3063587,1
4752049,159280,0
4752049,1130005,1
2523520,2686128,0
2523520,3130987,1
2860911,4597961,0
2860911,1147991,1
2032442,1954331,0
2032442,1169557,1
976723,1300410,0
976723,3549661,1
3809045,635727,0
3809045,929249,1
3127090,123138,0
3127090,4097061,1
3229886,1409961,0
3229886,2423302,1
2943564,1604421,0
2943564,1164306,1
4394985,2099696,0
4394985,1806950,1
4417382,495464,0
4417382,2030676,1
3056035,290554,0
3056035,2737196,1
2338088,3053698,0
2338088,892512,1
3662667,399235,0
3662667,2817979,1
3271898,90794,0
3271898,128409,1
1179673,3915870,0
1179673,4789627,1
2836951,4605640,0
2836951,3072585,1
1225988,2494930,0
1225988,1417389,1
4114501,3545638,0
4114501,3060923,1
4472676,4442731,0
4472676,4014551,1
16934,4309687,0
16934,3266482,1
336394,3170142,0
336394,3064830,1
4551011,3028109,0
4551011,4413950,1
3868302,1703760,0
3868302,3327094,1
561439,3490893,0
561439,3797960,1
1418987,3311578,0
1418987,2506817,1
2401164,2815888,0
2401164,198690,1
689077,27019,0
689077,1034643,1
788553,1358536,0
788553,3399983,1
1885679,2095640,0
1885679,4439925,1
1548012,4860178,0
1548012,1798679,1
685003,1914078,0
685003,56009,1
4413199,334416,0
4413199,408837,1
2878604,163637,0
2878604,2031703,1
217029,2108507,0
217029,94144,1
285622,2474690,0
285622,4401406,1
4451122,4710729,0
4451122,3196801,1
3238876,602224,0
3238876,308334,1
218698,407498,0
218698,1875468,1
2361966,4187445,0
2361966,943152,1
3201381,2974112,0
3201381,3322657,1
3452248,935309,0
3452248,4547822,1
1572270,2727881,0
1572270,2056886,1
513123,2970690,0
513123,4351124,1
4069688,4347661,0
4069688,4844133,1
3693359,722165,0
3693359,596012,1
3134235,1341117,0
3134235,4241526,1
2175694,126183,0
2175694,1497278,1
1559950,1051352,0
1559950,1730732,1
411002,1114163,0
411002,4138155,1
1680255,3894478,0
1680255,1135575,1
4605319,4559803,0
4605319,4847914,1
